,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,75,CL,1562187931,74,-53.16,-70.91,33.8,8.05
1,Tuatapere,90,NZ,1562187933,81,-46.13,167.69,46.0,3.0
2,Hasaki,75,JP,1562187935,100,35.73,140.83,75.2,8.05
3,Kijang,34,KR,1562187936,93,35.24,129.21,66.2,4.7
4,New Norfolk,20,AU,1562187937,86,-42.78,147.06,39.99,4.7
5,Ancud,40,CL,1562187939,81,-41.87,-73.83,46.4,5.82
6,Pimentel,71,BR,1562187941,83,-3.7,-45.5,78.96,2.26
7,Iqaluit,20,CA,1562187943,81,63.75,-68.52,42.8,16.11
8,Yellowknife,75,CA,1562187944,67,62.45,-114.38,59.0,9.17
9,Cape Town,20,ZA,1562187945,93,-33.93,18.42,57.0,6.93
10,Arraial do Cabo,0,BR,1562187947,45,-22.97,-42.02,86.0,5.82
11,Harindanga,75,IN,1562187949,94,22.04,88.32,82.4,4.7
12,Puerto Ayora,20,EC,1562187950,61,-0.74,-90.35,77.0,23.04
13,Pangkalanbuun,100,ID,1562187951,98,-2.68,111.62,74.46,1.7
14,Norman Wells,75,CA,1562187953,67,65.28,-126.83,60.8,2.84
15,Bluff,9,AU,1562187955,87,-23.58,149.07,57.36,12.03
16,Fairmont,20,US,1562187956,62,40.64,-97.59,90.0,8.05
17,Kaitangata,80,NZ,1562187958,80,-46.28,169.85,45.0,4.0
18,Nikolskoye,90,RU,1562187959,87,59.7,30.79,57.2,13.42
19,Vaini,68,IN,1562187961,86,15.34,74.49,77.88,7.02
20,Pisco,0,PE,1562187963,30,-13.71,-76.2,71.6,9.17
21,Bambous Virieux,75,MU,1562187964,94,-20.34,57.76,69.8,5.82
22,Albany,1,US,1562187965,45,42.65,-73.75,90.0,4.7
23,Ushuaia,0,AR,1562187916,92,-54.81,-68.31,28.4,4.7
24,Busselton,100,AU,1562187969,38,-33.64,115.35,64.0,28.72
25,Qaanaaq,100,GL,1562187971,45,77.48,-69.36,46.74,1.52
26,Luderitz,0,NA,1562187972,82,-26.65,15.16,57.2,3.36
27,Tommot,100,RU,1562187974,90,58.97,126.27,44.76,5.86
28,Xai-Xai,0,MZ,1562187976,81,-25.04,33.64,58.8,3.91
29,Mataura,99,NZ,1562187977,81,-46.19,168.86,46.0,3.0
30,Hithadhoo,62,MV,1562187979,79,-0.6,73.08,83.28,12.86
31,Georgetown,40,GY,1562187912,79,6.8,-58.16,84.2,11.41
32,Montgomery,75,US,1562187981,83,32.37,-86.3,90.0,5.82
33,Kapaa,20,US,1562187711,69,22.08,-159.32,82.4,6.93
34,Port Alfred,0,ZA,1562187985,91,-33.59,26.89,57.0,3.0
35,Atuona,52,PF,1562187930,66,-9.8,-139.03,80.4,7.34
36,Rikitea,100,PF,1562187988,82,-23.12,-134.97,64.02,19.98
37,Yerofey Pavlovich,100,RU,1562187989,88,53.97,121.97,48.18,4.14
38,Natal,40,BR,1562187832,83,-5.81,-35.21,78.8,5.82
39,Mulanje,42,MW,1562187992,93,-16.03,35.5,60.78,10.36
40,Saint-Augustin,20,CA,1562187994,35,45.63,-73.98,90.0,4.7
41,Pangnirtung,75,CA,1562187995,71,66.15,-65.72,51.8,2.24
42,Chokurdakh,100,RU,1562187997,83,70.62,147.9,39.0,6.31
43,Christchurch,67,NZ,1562187998,65,-43.53,172.64,46.0,11.41
44,Torbay,90,CA,1562188000,76,47.66,-52.73,59.0,12.75
45,Mount Pleasant,40,US,1562187874,58,33.16,-94.97,91.4,3.36
46,Constantine,0,DZ,1562188002,47,36.36,6.61,80.6,2.24
47,Mackay,90,CA,1562188004,76,53.65,-115.58,59.0,5.82
48,Juuru,0,EE,1562188006,58,59.06,24.96,57.2,16.11
49,Nemuro,100,JP,1562188007,97,43.32,145.57,51.96,2.3
50,Nishihara,75,JP,1562188009,94,35.74,139.53,79.0,7.74
51,Carnarvon,0,ZA,1562188011,32,-30.97,22.13,46.56,6.08
52,Jamestown,0,AU,1562188012,91,-33.21,138.6,42.78,6.96
53,Saskylakh,100,RU,1562188014,77,71.97,114.09,49.98,7.81
54,Maragogi,0,BR,1562188016,92,-9.01,-35.22,73.56,4.0
55,Tongchuan,20,CN,1562188018,83,34.9,108.95,73.4,4.47
56,Alamosa,1,US,1562188019,14,37.47,-105.87,82.4,16.11
57,Thompson,75,CA,1562188020,54,55.74,-97.86,57.2,19.46
58,Bubaque,100,GW,1562188022,82,11.28,-15.83,80.76,13.87
59,Salalah,90,OM,1562188024,94,17.01,54.1,82.4,5.82
60,Mar del Plata,25,AR,1562187789,70,-46.43,-67.52,30.72,7.27
61,Henties Bay,0,NA,1562188026,64,-22.12,14.28,59.0,1.01
62,Hilo,40,US,1562188027,58,19.71,-155.08,82.4,9.17
63,Nome,1,US,1562188029,88,30.04,-94.42,86.0,3.36
64,Wonthaggi,10,AU,1562188031,85,-38.6,145.59,48.0,5.99
65,Misratah,0,LY,1562188032,69,32.38,15.09,78.06,14.94
66,Castro,40,CL,1562188034,81,-42.48,-73.76,46.4,5.82
67,Laguna,40,BZ,1562188035,59,16.17,-88.94,91.4,6.93
68,Lompoc,1,US,1562187752,77,34.64,-120.46,78.01,11.41
69,Hami,0,CN,1562188038,12,42.84,93.51,82.74,18.59
70,Victoria,75,BN,1562188040,88,5.28,115.24,80.6,2.06
71,Homer,1,US,1562188041,59,59.64,-151.54,77.0,9.17
72,Narasannapeta,97,IN,1562188043,76,18.42,84.04,81.48,3.53
73,Parabel,81,RU,1562188044,82,58.71,81.5,65.1,2.75
74,Namibe,18,AO,1562188046,90,-15.19,12.15,69.24,7.81
75,Hofn,100,IS,1562188047,94,64.25,-15.21,40.62,2.68
76,Bredasdorp,0,ZA,1562188049,87,-34.53,20.04,53.6,2.24
